metabolite,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi
12m3hmyrsACP,12-methyl-3-hydroxy-tetra-decanoyl-ACP,,,,,
12m3htridecACP,12-methyl-3-hydroxy-tridecanoyl-ACP,,,,,
12m3omyrsACP,12-methyl-3-oxo-tetra-decanoyl-ACP,,,,,
12m3otridecACP,12-methyl-3-oxo-tridecanoyl-ACP,,,,,
12mmyrsACP,12-methyl-tetra-decanoyl-ACP,,,,,
12mtmrs2eACP,12-methyl-trans-tetra-dec-2-enoyl-ACP,,,,,
12mtridecACP,12-methyl-tridecanoyl-ACP,,,,,
12mttritec2eACP,12-methyl-trans-tridec-2-enoyl-ACP,,,,,
13dpg,3-Phospho-D-glyceroyl phosphate,HMDB01270,C00236,439191,,
13m3hmyrsACP,13-methyl-3-hydroxy-tetra-decanoyl-ACP,,,,,
13m3omyrsACP,13-methyl-3-oxo-tetra-decanoyl-ACP,,,,,
13mmyrsACP,13-methyl-tetra-decanoyl-ACP,,,,,
13mtmrs2eACP,13-methyl-trans-tetra-dec-2-enoyl-ACP,,,,,
14m3hpalmACP,14-methyl-3-hydroxy-hexa-decanoyl-ACP,,,,,
14m3hpentdecACP,14-methyl-3-hydroxy-pentadecanoyl-ACP,,,,,
14m3opalmACP,14-methyl-3-oxo-hexa-decanoyl-ACP,,,,,
14m3opentdecACP,14-methyl-3-oxo-pentadecanoyl-ACP,,,,,
14mpalmACP,14-methyl-hexa-decanoyl-ACP,,,,,
14mpentdecACP,14-methyl-pentadecanoyl-ACP,,,,,
14mtpalm2eACP,14-methyl-trans-hexa-dec-2-enoyl-ACP,,,,,
14mtpentdec2eACP,14-methyl-trans-pentadec-2-enoyl-ACP,,,,,
15dap,"1,5-Diaminopentane",,,,,
15m3hpalmACP,15-methyl-3-hydroxy-hexa-decanoyl-ACP,,,,,
15m3opalmACP,15-methyl-3-oxo-hexa-decanoyl-ACP,,,,,
15mpalmACP,15-methyl-hexa-decanoyl-ACP,,,,,
15mtpalm2eACP,15-methyl-trans-hexa-dec-2-enoyl-ACP,,,,,
1agpe120,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),,,,,
1agpe140,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0),,,,,
1agpe141,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),,,,,
1agpe160,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),,,,,
1agpe161,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),,,,,
1agpe180,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),,,,,
1agpe181,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),,,,,
1agpg120,1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),,,,,
1agpg140,1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),,,,,
1agpg141,1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),,,,,
1agpg160,1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),,,,,
1agpg161,1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),,,,,
1agpg180,1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),,,,,
1agpg181,1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),,,,,
1aihpdecg3p,"1-anteisoheptadecanoyl-sn-glycerol 3-phosphate (14-methyl-hexadecanoyl, anteiso-C17)",,,,,
1aipdecg3p,"1-anteisopentadecanoyl-sn-glycerol 3-phosphate (12-methyl-tetradecanoyl, anteiso-C15)",,,,,
1ddecg3p,1-acyl-sn-glycerol 3-phosphate(2-),,,,,
1hdec9eg3p,1-hexadec-9-enoyl-sn-glycerol 3-phosphate,,,,,
1hdecg3p,1-hexadecanoyl-sn-glycerol 3-phosphate,,,,,
1ihdecg3p,"1-isohexadecanoyl-sn-glycerol 3-phosphate (14-methyl-pentadecanoyl, iso-C16)",,,,,
1ihpdecg3p,"1-isoheptadecanoyl-sn-glycerol 3-phosphate (15-methyl-hexadecanoyl, iso-C17)",,,,,
1ipdecg3p,"1-isopentadecanoyl-sn-glycerol 3-phosphate (13-methyl-tetradecanoyl, iso-C15)",,,,,
1itdecg3p,"1-isotetradecanoyl-sn-glycerol 3-phosphate (12-methyl-tridecanoyl, iso-C14)",,,,,
1odec11eg3p,1-octadec-11-enoyl-sn-glycerol 3-phosphate,,,,,
1odecg3p,1-octadecanoyl-sn-glycerol 3-phosphate,,,,,
1p3h5c,L-1-Pyrroline-3-hydroxy-5-carboxylate,HMDB01369,C04281,11966267,"InChI=1S/C5H7NO3/c7-3-1-4(5(8)9)6-2-3/h2-4,7H,1H2,(H,8,9)/p-1/t3-,4+/m1/s1",
1pyr5c,1-Pyrroline-5-carboxylate,HMDB01301,C04322,1196,"InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h3-4H,1-2H2,(H,7,8)/p-1",
1tdec7eg3p,1-tetradec-7-enoyl-sn-glycerol 3-phosphate,,,,,
1tdecg3p,1-tetradecanoyl-sn-glycerol 3-phosphate,,,,,
23dhdp,"2,3-Dihydrodipicolinate",,,,,
23dhmb,"(R)-2,3-Dihydroxy-3-methylbutanoate",,,,,
23dhmp,"(R)-2,3-Dihydroxy-3-methylpentanoate",,,,,
25aics,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,HMDB00797,C04823,160666,,
25dhpp,"2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine",,,,,
26dap_LL,"LL-2,6-Diaminoheptanedioate",,,,,
26dap_M,"meso-2,6-Diaminoheptanedioate",,,,,
2agpe120,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),,,,,
2agpe140,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0),,,,,
2agpe141,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),,,,,
2agpe160,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),,,,,
2agpe161,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),,,,,
2agpe180,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),,,,,
2agpe181,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),,,,,
2agpg120,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),,,,,
2agpg140,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),,,,,
2agpg141,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),,,,,
2agpg160,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),,,,,
2agpg161,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),,,,,
2agpg180,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),,,,,
2agpg181,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),,,,,
2ahbut,(S)-2-Aceto-2-hydroxybutanoate,,,,,
2ahhmd,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate",,,,,
2ahhmp,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",,C01300,,,
2aobut,L-2-amino-3-oxobutanoic acid,HMDB06454,C03508,440033,"InChI=1S/C4H7NO3/c1-2(6)3(5)4(7)8/h3H,5H2,1H3,(H,7,8)/t3-/m0/s1",
2c25dho,"2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate",,C01278,4497,"InChI=1S/C7H6O6/c8-4(9)3-7(6(11)12)2-1-5(10)13-7/h1-2H,3H2,(H,8,9)(H,11,12)/p-2",
2cpr5p,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,,,
2dda7p,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,,,,,
2ddecg3p,2-dodecanoyl-sn-glycerol 3-phosphate,,,,,
2dhglcn,2-Dehydro-D-gluconate,,,,,
2dhp,2-Dehydropantoate,,,,,
2dmmq7,2-Demethylmenaquinone 7,,C05818,,,
2dmmq8,2-Demethylmenaquinone 8,,,,,
2dmmql8,2-Demethylmenaquinol 8,,,,,
2h3oppan,2-Hydroxy-3-oxopropanoate,,,,,
2hdec9eg3p,2-hexadec-9-enoyl-sn-glycerol 3-phosphate,,,,,
2hdecg3p,2-hexadecanoyl-sn-glycerol 3-phosphate,,,,,
2hmc,2-Hydroxymuconate,,,,,
2ippm,2-Isopropylmaleate,,,,,
2mahmp,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,,,,,
2mbcoa,2-methylbutanoyl-CoA(4-),HMDB01041,C01033,,,
2mbutACP,"2-methylbutanoyl-ACP,2-methylbutyryl-ACP",,,,,
2me4p,2-C-methyl-D-erythritol 4-phosphate,,,,,
2mecdp,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",,,,,
2mpropACP,"2-methylpropionyl-ACP,isobutyryl-ACP",,,,,
2obut,2-Oxobutanoate,HMDB00005,C00109,58,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",
2odec11eg3p,2-octadec-11-enoyl-sn-glycerol 3-phosphate,,,,,
2odecg3p,2-octadecanoyl-sn-glycerol 3-phosphate,,,,,
2ohph,2-Octaprenyl-6-hydroxyphenol,,,,,
2ombz,"2-Octaprenyl-6-methoxy-1,4-benzoquinone",,,,,
2ombzl,"2-Octaprenyl-6-methoxy-1,4-benzoquinol",,,,,
2omhmbl,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol",,,,,
2ommb,"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",,,,,
2ommbl,"2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol",,,,,
2omph,2-Octaprenyl-6-methoxyphenol,,,,,
2oph,2-Octaprenylphenol,,,,,
2p4c2me,2-phospho-4-(cytidine 5-diphospho)-2-C-methyl-D-erythritol,,,,,
2pg,D-Glycerate 2-phosphate,HMDB03391,C00631,439278,,
2pglyc,2-phosphonatoglycolate(3-),HMDB00816,C00988,529,"InChI=1S/C2H5O6P/c3-2(4)1-8-9(5,6)7/h1H2,(H,3,4)(H2,5,6,7)/p-3",
2shchc,"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate",,,,,
2tdec7eg3p,2-tetradec-7-enoyl-sn-glycerol 3-phosphate,,,,,
2tdecg3p,2-tetradecanoyl-sn-glycerol 3-phosphate,,,,,
33hmeoxobut,2-Oxo-3-hydroxyisovalerate,,,,,
34hpp,3-(4-hydroxyphenyl)pyruvate,HMDB00707,C01179,979,"InChI=1S/C9H8O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,10H,5H2,(H,12,13)/p-1",
3a2opp,3-Amino-2-oxopropyl phosphate,,,,"InChI=1S/C3H8NO5P/c4-1-3(5)2-9-10(6,7)8/h1-2,4H2,(H2,6,7,8)",
3c2hmp,3-Carboxy-2-hydroxy-4-methylpentanoate,,,,,
3c3hmp,3-Carboxy-3-hydroxy-4-methylpentanoate,,,,,
3c4mop,3-Carboxy-4-methyl-2-oxopentanoate,,,,,
3dhq,3-Dehydroquinate,,,,,
3dhsk,3-Dehydroshikimate,,,,,
3h3mop,(R)-3-Hydroxy-3-methyl-2-oxopentanoate,,,,,
3haACP,(3R)-3-Hydroxyacyl-[acyl-carrier protein],,,,,
3hddecACP,(R)-3-Hydroxydodecanoyl-[acyl-carrier protein],,,,,
3hdecACP,(R)-3-Hydroxydecanoyl-[acyl-carrier protein],,,,,
3hhexACP,(R)-3-Hydroxyhexanoyl-[acyl-carrier protein],,,,,
3hmrsACP,(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein],,,,,
3hoctACP,(R)-3-Hydroxyoctanoyl-[acyl-carrier protein],,,,,
3hoctaACP,(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein],,,,,
3hpalmACP,R-3-hydroxypalmitoyl-[acyl-carrier protein],,,,,
3ig3p,C-(3-Indolyl)-glycerol 3-phosphate,,,,,
3mbutACP,"3-methylbutanoyl-ACP,isovaleryl-ACP",,,,,
3mob,3-methyl-2-oxobutanoate,HMDB00019,C00141,49,"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)/p-1",
3mop,3-methyl-2-oxopentanoate,HMDB00491,C03465,47,"InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)/p-1",
3oddecACP,3-Oxododecanoyl-[acyl-carrier protein],,,,,
3odecACP,3-Oxodecanoyl-[acyl-carrier protein],,,,,
3ohexACP,3-Oxohexanoyl-[acyl-carrier protein],,,,,
3omrsACP,3-Oxotetradecanoyl-[acyl-carrier protein],,,,,
3ooctACP,3-Oxooctanoyl-[acyl-carrier protein],,,,,
3ooctdACP,3-Oxooctadecanoyl-[acyl-carrier protein],,,,,
3opalmACP,3-Oxohexadecanoyl-[acyl-carrier protein],,,,,
3ophb,3-Octaprenyl-4-hydroxybenzoate,,,,,
3padsel,3-Phosphoadenylylselenate,HMDB11104,C05696,24892762,,
3pg,3-Phospho-D-glycerate,HMDB00807,C00597,439183,"InChI=1S/C3H7O7P/c4-2(3(5)6)1-10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/p-3/t2-/m1/s1",
3php,3-phosphonatooxypyruvate(3-),HMDB01024,C03232,105,"InChI=1S/C3H5O7P/c4-2(3(5)6)1-10-11(7,8)9/h1H2,(H,5,6)(H2,7,8,9)/p-3",
3psme,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,,,,,
4abz,4-Aminobenzoate,,,,,
4adcho,4-amino-4-deoxychorismate,,,,,
4ahmmp,4-Amino-5-hydroxymethyl-2-methylpyrimidine,,,,,
4ampm,4-Amino-2-methyl-5-phosphomethylpyrimidine,,,,,
4c2me,4-(cytidine 5-diphospho)-2-C-methyl-D-erythritol,,,,,
4gubut,4-Guanidinobutanoate,,,,,
4gudbd,4-Guanidinobutanamide,,,,,
4h2oglt,4-hydroxy-2-oxoglutarate(2-),HMDB02070,C01127,599,"InChI=1S/C5H6O6/c6-2(4(8)9)1-3(7)5(10)11/h2,6H,1H2,(H,8,9)(H,10,11)/p-2",
4hba,4-Hydroxy-benzyl alcohol,,,,,
4hbz,4-hydroxybenzoate,HMDB00500,C00156,,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)/p-1",
4hpro_LT,trans-4-hydroxy-L-proline,HMDB00725,C01157,5810,"InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4+/m1/s1",
4hthr,4-Hydroxy-L-threonine,,,,,
4m3hhexACP,4-methyl-3-hydroxy-hexanoyl-ACP,,,,,
4m3hpentACP,4-methyl-3-hydroxy-pentanoyl-ACP,,,,,
4m3ohexACP,4-methyl-3-oxo-hexanoyl-ACP,,,,,
4m3opentACP,4-methyl-3-oxo-pentanoyl-ACP,,,,,
4mhetz,4-Methyl-5-(2-hydroxyethyl)-thiazole,,,,,
4mhexACP,4-methyl-hexanoyl-ACP,,,,,
4mop,4-methyl-2-oxopentanoate,HMDB00695,C00233,70,"InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)/p-1",
4mpentACP,4-methyl-pentanoyl-ACP,,,,,
4mpetz,4-Methyl-5-(2-phosphoethyl)-thiazole,,,,,
4mthex2eACP,4-methyl-trans-hex-2-enoyl-ACP,,,,,
4mtpent2eACP,4-methyl-trans-pent-2-enoyl-ACP,,,,,
4pasp,4-Phospho-L-aspartate,,,,,
4per,4-Phospho-D-erythronate,,,,,
4ppan,D-4-Phosphopantothenate,HMDB01016,C03492,41635,,
4ppcys,N-((R)-4-Phosphopantothenoyl)-L-cysteine,HMDB01117,C04352,440304,,
4r5au,4-(1-D-Ribitylamino)-5-aminouracil,,,,,
5aizc,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,HMDB06273,C04751,165388,,
5aop,5-Amino-4-oxopentanoate,HMDB01149,C00430,137,"InChI=1S/C5H9NO3/c6-3-4(7)1-2-5(8)9/h1-3,6H2,(H,8,9)",
5aprbu,5-Amino-6-(5-phosphoribitylamino)uracil,,,,,
5apru,5-Amino-6-(5-phosphoribosylamino)uracil,,,,,
5drib,5-deoxyribose,,,,,
5m3hhexACP,5-methyl-3-hydroxy-hexanoyl-ACP,,,,,
5m3ohexACP,5-methyl-3-oxo-hexanoyl-ACP,,,,,
5mhexACP,5-methyl-hexanoyl-ACP,,,,,
5mta,5-Methylthioadenosine,HMDB01173,C00170,439176,,
5mthex2eACP,5-methyl-trans-hex-2-enoyl-ACP,,,,,
5mthf,5-Methyltetrahydrofolate,HMDB01396,C00440,439234,,
5mthglu,5_Methyltetrahydropteroyltri_L_glutamate,,,,,
5mtr,5-Methylthio-D-ribose,,,,,
5odhf2a,"5-Oxo-4,5-dihydrofuran-2-acetate",,,,,
5prdmbz,"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole",,,,,
5thf,pentaglutamyl folate (THF),,,,,
6hmhpt,6-hydroxymethyl dihydropterin,,,,,
6hmhptpp,6-hydroxymethyl-dihydropterin pyrophosphate,,,,,
6m3hheptACP,6-methyl-3-hydroxy-heptanoyl-ACP,,,,,
6m3hocACP,6-methyl-3-hydroxy-octanoyl-ACP,,,,,
6m3oheptACP,6-methyl-3-oxo-heptanoyl-ACP,,,,,
6m3oocACP,6-methyl-3-oxo-octanoyl-ACP,,,,,
6mheptACP,6-methyl-heptanoyl-ACP,,,,,
6mocACP,6-methyl-octanoyl-ACP,,,,,
6mthept2eACP,6-methyl-trans-hept-2-enoyl-ACP,,,,,
6mtoct2eACP,6-methyl-trans-oct-2-enoyl-ACP,,,,,
7m3hocACP,7-methyl-3-hydroxy-octanoyl-ACP,,,,,
7m3oocACP,7-methyl-3-oxo-octanoyl-ACP,,,,,
7mocACP,7-methyl-octanoyl-ACP,,,,,
7mtoct2eACP,7-methyl-trans-oct-2-enoyl-ACP,,,,,
8aonn,8-Amino-7-oxononanoate,,,,,
8m3hdcaACP,8-methyl-3-hydroxy-decanoyl-ACP,,,,,
8m3hnonACP,8-methyl-3-hydroxy-nonanoyl-ACP,,,,,
8m3odcaACP,8-methyl-3-oxo-decanoyl-ACP,,,,,
8m3ononACP,8-methyl-3-oxo-nonanoyl-ACP,,,,,
8mdcaACP,8-methyl-decanoyl-ACP,,,,,
8mnonACP,8-methyl-nonanoyl-ACP,,,,,
8mtdec2eACP,8-methyl-trans-dec-2-enoyl-ACP,,,,,
8mtnon2eACP,8-methyl-trans-non-2-enoyl-ACP,,,,,
9m3hdcaACP,9-methyl-3-hydroxy-decanoyl-ACP,,,,,
9m3odcaACP,9-methyl-3-oxo-decanoyl-ACP,,,,,
9mdcaACP,9-methyl-decanoyl-ACP,,,,,
9mtdec2eACP,9-methyl-trans-dec-2-enoyl-ACP,,,,,
ACP,acyl carrier protein,,,,,
Cit_Mg,Citrate-Mg,,,,,
HC00955,L-3-Cyanoalanine,,C02512,439742,"InChI=1S/C4H6N2O2/c5-2-1-3(6)4(7)8/h3H,1,6H2,(H,7,8)/t3-/m0/s1",
HC01434,oxalatosuccinate(3-),HMDB03974,C05379,972,"InChI=1S/C6H6O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2H,1H2,(H,7,8)(H,10,11)(H,12,13)/p-3",
HC01577,gamma-Glutamyl-beta-cyanoalanine,,C05711,8018,"InChI=1S/C9H13N3O5/c10-4-3-6(9(16)17)12-7(13)2-1-5(11)8(14)15/h5-6H,1-3,11H2,(H,12,13)(H,14,15)(H,16,17)/t5-,6-/m0/s1",
HC01609,UroporphyrinogenI,HMDB02211,C05766,440775,,
HC01651,Formamidopyrimidine nucleoside triphosphate,,,,,
HC01652,"2,5-Diaminopyrimidine nucleoside triphosphate",HMDB06821,C05923,440841,,
HC01668,Propinol adenylate,,C05983,8261,,
HC01700,gamma-Glutamyl-3-aminopropiononitrile,,C06114,8376,"InChI=1S/C8H13N3O3/c9-4-1-5-11-7(12)3-2-6(10)8(13)14/h6H,1-3,5,10H2,(H,11,12)(H,13,14)/t6-/m0/s1",
HC01710,"2,5-Diamino-6-(5-triphosphoryl-3,4-trihydroxy-2-oxopentyl)- amino-4-oxopyrimidine",,,,,
Largn,L-Arogenate,,C00826,,,
Naccitr_L,N-Acetyl-L-citrulline,,,,,
PGP,Peptidoglycan polymer (n subunits),,,,,
PGPm1,Peptidoglycan polymer (n-1 subunits),,,,,
aa,Acrylamide,,,,,
aacoa,Acetoacetyl-CoA,HMDB01484,C00332,439214,,
aact,ammonioacetone,HMDB02134,C01888,215,"InChI=1S/C3H7NO/c1-3(5)2-4/h2,4H2,1H3/p+1",
acACP,Acetyl-ACP,,,,,
ac,acetate,HMDB00042,C00033,176,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1",
acac,acetoacetate,HMDB00060,C00164,96,"InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2,1H3,(H,6,7)/p-1",
acald,acetaldehyde,HMDB00990,C00084,177,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",
accoa,Acetyl-CoA,HMDB01206,C00024,444493,,
acg5p,N-acetyl-L-gamma-glutamyl phosphate(3-),HMDB06456,C04133,440236,"InChI=1S/C7H12NO8P/c1-4(9)8-5(7(11)12)2-3-6(10)16-17(13,14)15/h5H,2-3H2,1H3,(H,8,9)(H,11,12)(H2,13,14,15)/p-3/t5-/m0/s1",
acg5sa,2-acetamido-5-oxopentanoate,HMDB06488,C01250,192878,"InChI=1S/C7H11NO4/c1-5(10)8-6(7(11)12)3-2-4-9/h4,6H,2-3H2,1H3,(H,8,10)(H,11,12)/p-1/t6-/m0/s1",
acgam1p,N-Acetyl-D-glucosamine 1-phosphate,HMDB01367,C04256,440272,,
acglu,N-acetyl-L-glutamate(2-),HMDB01138,C00624,70914,"InChI=1S/C7H11NO5/c1-4(9)8-5(7(12)13)2-3-6(10)11/h5H,2-3H2,1H3,(H,8,9)(H,10,11)(H,12,13)/p-2/t5-/m0/s1",
acon_C,cis-Aconitate,,,,,
acorn,N(2)-acetyl-L-ornithine,HMDB03357,C00437,439232,"InChI=1S/C7H14N2O3/c1-5(10)9-6(7(11)12)3-2-4-8/h6H,2-4,8H2,1H3,(H,9,10)(H,11,12)/t6-/m0/s1",
acryl,acrylate,,C00511,6581,"InChI=1S/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)",
acser,O-Acetyl-L-serine,,,,,
actACP,Acetoacetyl-ACP,,,,,
actp,Acetyl phosphate,,,,,
ad,Acetamide,,,,,
ade,Adenine,HMDB00034,C00147,190,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",
adn,Adenosine,HMDB00050,C00212,60961,,
adocbi,Adenosyl cobinamide,,,,,
adocbip,Adenosyl cobinamide phosphate,,,,,
adocbl,Adenosylcobalamin,HMDB02086,C00194,,,
adp,ADP,HMDB01341,C00008,6022,,
adphep_DD,ADP-D-glycero-D-manno-heptose,,,,,
adphep_LD,ADP-L-glycero-D-manno-heptose,,,,,
adsel,Adenylylselenate,HMDB04112,C05686,440758,,
agdpcbi,Adenosine-GDP-cobinamide,,,,,
agm,agmatinium(2+),HMDB01432,C00179,199,"InChI=1S/C5H14N4/c6-3-1-2-4-9-5(7)8/h1-4,6H2,(H4,7,8,9)/p+2",
ahcys,S-Adenosyl-L-homocysteine,HMDB00939,C00021,439155,,
ahdt,"7,8-dihydroneopterin 3-triphosphate(4-)",HMDB00980,C04895,121885,,
aicar,5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,HMDB01517,C04677,65110,,
aihpdcoa,"fa12coa,Anteiso-C17:0 CoA   Anteisoheptadecanoyl-CoA",,,,,
aipdcoa,"fa4coa,Anteiso-C15:0 CoA   Anteisopentadecanoyl-CoA",,,,,
air,5-amino-1-(5-phospho-D-ribosyl)imidazole,HMDB01235,C03373,161500,,
akg,2-Oxoglutarate,HMDB00208,C00026,51,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2",
ala_B,beta-alanine,HMDB00056,C00099,,"InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)",
ala_D,D-alanine,HMDB01310,C00133,71080,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m1/s1",
ala_L,L-alanine,HMDB00161,C00041,5950,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",
alaala,D-Alanyl-D-alanine,HMDB03459,C00993,5460362,,
alaasp,L-alanyl-L-aspartate,,,,,
alac_S,(S)-2-Acetolactate,,,,,
alagln,L-alanyl-L-glutamine,,,,,
alaglu,L-alanyl-L-glutamate,,,,,
alagly,L-alanylglycine,,,,,
alahis,L-alanyl-L-histidine,,C00386,,"InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1",
alaleu,L-alanyl-L-leucine,,,,,
alathr,L-alanyl-L-threonine,,,,,
allphn,Allophanate,,C01010,,,
amet,S-Adenosyl-L-methionine,HMDB01185,C00019,34756,,
